experiment_id,title,stage,status,evidence_classification,origin_path,latest_decision_path,notes
E0011,Null-Control Residual Convergence and Conditional PowerBall Transitions,methodology|candidate_funnel|powerball_matrix,active_methodology_execution,INSUFFICIENT_EVIDENCE,experiments/E0011/hypothesis.md,experiments/E0011/decision.md,Null controls and redundancy doctrine remain active. Correlated/functionally derived transition views must count as one information family. Conditional PB shrinkage retained only as a challenger versus simpler baselines.
E0012,Gemini SGCE In-Wheel Pruning and Adaptive-K Audit,coalition_assembly|morphology|candidate_funnel|methodology,active_audit,INSUFFICIENT_EVIDENCE,experiments/E0012/hypothesis.md,experiments/E0012/decision.md,Revised SGCE specification preserved; strict W50 has zero eligible Main targets at 25 active draws; exploratory partial-window replay shows no detected lift; gap-null filtering rationale rejected; no production promotion.
E0013,Positive-PMI Spectral Coalition Ranking,coalition_assembly,proposed_prospective_shadow,PROVISIONAL_SIGNAL,experiments/E0013/hypothesis.md,experiments/E0013/decision.md,Coalition-only shadow remains one of the stronger discovery signals. Do not apply a fictitious central-coordinate pair-null correction; future challenger should use marginal-conditioned/shrunk pair association given observed coordinate marginals.
E0014,XTRA Research Transfer and Algorithm-Extraction Championship,methodology|slot_forecast|candidate_funnel|coalition_assembly|morphology|powerball_matrix,completed_exploratory_championship,INSUFFICIENT_EVIDENCE,experiments/E0014/hypothesis.md,experiments/E0014/decision.md,XTRA-only replay of Main-derived mathematical operators. No main-number breakthrough; exact Main E0013 PPMI spectral coalition signal does not reproduce in XTRA; conditional PB convergence extracted as separate E0015 provisional signal.
E0015,XTRA Conditional PowerBall Residual Convergence,powerball_matrix,restricted_shadow,PROVISIONAL_SIGNAL,experiments/E0015/hypothesis.md,experiments/E0015/decision.md,Conditional PB research must now be interpreted under strong-shrinkage and dependency controls; no high-confidence authority from sparse state counts.
E0016,Physics-Derived Shadow Integration and XTRA Richardson Dispersion,methodology|candidate_funnel,active_prospective_shadow,PROVISIONAL_SIGNAL,experiments/E0016/hypothesis.md,experiments/E0016/decision.md,Main nonequilibrium current remains independent shadow; Levy diagnostic only. Richardson pair estimator may remain shadow but historical geometric-mean message passing is heuristic not exact joint inference.
E0017,Gemini XTRA Spectral Gap Acquisition Claim Audit,candidate_funnel|powerball_matrix|methodology,active_audit,INSUFFICIENT_EVIDENCE,experiments/E0017/hypothesis.md,experiments/E0017/decision.md,Post-draw Gemini 28-Aug XTRA claim red-teamed. Gemini admitted post-hoc fitting; disclosed code fails to reproduce claimed Primary K12 4/5 K36 5/5 PB15 Top1 or exact Board19. Predictive claim rejected; derivative gets zero retrospective credit.
E0018,XTRA Full-Mixture Acquisition and Power-Governed Residual Integration,slot_forecast|candidate_funnel|methodology,active_prospective_shadow,INSUFFICIENT_EVIDENCE,experiments/E0018/hypothesis.md,experiments/E0018/decision.md,Full-support philosophy retained. Stage-1 HLR-only pooling does not have E0019's within-slot HLR×VVD defect but per-slot pooling remains an approximation and should migrate toward coherent legal-line normalization where feasible.
E0019,Main Full-Support Line-Mass Candidate Acquisition,candidate_funnel,operator_superseded_objective_retained,INSUFFICIENT_EVIDENCE,experiments/E0019/hypothesis.md,experiments/E0019/decision.md,Historical frozen predictions remain scoreable. HLR×VVD residual-product field is rejected for forward reuse; complete-line containment objective is retained as an objective to challenge/test and transferred to E0021/E0026 research.
E0020,Main Terminal Motif and Symbolic-Dynamics Synergy,slot_forecast|candidate_funnel|powerball_matrix,diagnostic_only_after_first_target,INSUFFICIENT_EVIDENCE,experiments/E0020/hypothesis.md,experiments/E0020/decision.md,Terminal diagnostics retained; M1-M3 terminal×HLR×VVD multiplicative chain rejected for forward acquisition. 2026-09-01 S3/S4 top-terminal hits do not override negative proper-score history.
E0021,Joint Signed-Displacement Legal-Line Acquisition,candidate_funnel|methodology,proposed_design,INSUFFICIENT_EVIDENCE,experiments/E0021/hypothesis.md,experiments/E0021/decision.md,Corrected successor to E0019 field: one signed-transition family per slot exact legal-line normalization proper-score-first gate. Forward preservation semantics are refined by E0026 scenario-constrained slot routing.
E0022,Oracle-K13 Assembly Evolution and Tie-Safe Ranking Audit,coalition_assembly|winner_float_ranking|portfolio_optimization,active_prospective_shadow,INSUFFICIENT_EVIDENCE,experiments/E0022/hypothesis.md,experiments/E0022/decision.md,4+-first Johnson accepted as optional same-budget geometry; Main Dissent-OR is shadow only; prior XTRA raw-pair oracle strength downgraded after tie-safe average-midrank audit.
E0023,Slot-1 Anchored Decade-Shell Echo,coalition_assembly|winner_float_ranking,active_prospective_shadow,INSUFFICIENT_EVIDENCE,experiments/E0023/hypothesis.md,experiments/E0023/decision.md,Main-only exact-null conditional decade-shell shadow with kappa20; discovery mean oracle-K13 percentile 0.531; zero candidate/pruning authority; first prospective target was 2026-09-04 and requires separately frozen/scored artifact for credit.
E0024,External Strategy Championship — Balanced Overlap Machine State and Change-Point Audit,portfolio_optimization|methodology|external_state,completed_exploratory_championship,INSUFFICIENT_EVIDENCE,experiments/E0024/hypothesis.md,experiments/E0024/decision.md,E0022 4+-first retained; pure 7/8 balance reduced 4+ coverage 788→772; machine association non-significant; Main heavily-shrunk oracle-machine result retained as non-deployable research lead only; XTRA machine conditioning negative; no change-point promotion.
E0025,Apodex Acquisition Infrastructure Extraction and Repair,candidate_funnel|methodology|powerball_matrix,active_methodology_rework,INSUFFICIENT_EVIDENCE,collaboration/contributions/apodex_2026-09-02/,experiments/E0025/decision.md,Legal-line DP/M(K)/walk-forward harness concepts retained; supplied signed-transition adjacent-preserver and PB implementations rejected in current form; corrected alpha2 PB derivative was zero-weight shadow for 2026-09-04.
E0026,Scenario-Constrained Slot-Routed K13 Acquisition,slot_forecast|candidate_funnel|methodology,active_prospective_shadow,INSUFFICIENT_EVIDENCE,experiments/E0026/hypothesis.md,experiments/E0026/decision.md,Preserve candidate plus admissible slot provenance and scenario probability at fixed K13. On 2026-09-04 superseded E0026-R retained 38@S4 and50@S5 but proper-score history remains negative; dense 27..39 aggregate-mass optimizer is invalidated/rejected as a semantics failure. Continue robust scenario-objective research only.
E0027,SmokeField Non-Colliding Slot Diffusion and Collision Field Championship,slot_forecast|candidate_funnel|coalition_assembly,completed_negative_shadow,INSUFFICIENT_EVIDENCE,experiments/E0027/hypothesis.md,experiments/E0027/decision.md,Generic particle acceleration diffusion and pair-collision ranking rejected; retain only gap-pressure as a diagnostic regularization research note with zero predictive authority.
E0028,Last-Digit Sum Absolute-Delta Constraint Championship,morphology|winner_float_ranking|methodology,active_prospective_shadow,INSUFFICIENT_EVIDENCE,experiments/E0028/hypothesis.md,experiments/E0028/decision.md,Main LDSAD 11..13 discovery band is multiplicity-exposed and no hard-pruning authority. First fresh target 2026-09-04 realized LDSAD11 inside frozen band; retain as one shadow success only. XTRA may transfer method only and must fit independently.
E0029,K13 Pattern-Constraint Triage and Spectral-Rescue Championship,candidate_frozen_pattern_constraint_triage|coalition_assembly|morphology|winner_float_ranking,active_prospective_shadow,INSUFFICIENT_EVIDENCE,experiments/E0029/hypothesis.md,experiments/E0029/decision.md,Preferred shadow: frozen K13 -> enumerate1287 -> Pattern-OR top80 plus E0013 top5 spectral rescue -> spectral ranking -> fixed-budget portfolio. First fresh 2026-09-04 exact-winning-line gate/rank is unscoreable because official K13 lost four winners upstream; no hard-pruning authority gained or lost from that target.
